ImpactType,DestinationState,WageAndSalaryEmployment,ProprietorEmployment,Wages_and_Salary,Value_Added,Output
Indirect,Louisiana,25785.180986213854,18417.458220488727,2024579358.5078366,5570140500.05342,11802759815.222166
Indirect,Maine,8312.463899330653,5385.396858979589,695431584.8845341,1573364713.0422518,2993533976.5833073
Indirect,Maryland,20807.697893096873,11993.081153722069,1891858287.0435581,4205634144.202324,7710664621.812558
Indirect,Massachusetts,23336.01991252414,10668.574415886971,2824110290.9541364,5837281163.277286,10019304880.629538
Indirect,Michigan,20532.89530753506,10530.720009909066,1763098388.1070945,3794824825.729675,7921635266.450123
Indirect,Minnesota,5059.210339979575,2157.407935235675,433939948.1702458,1012101631.0021524,2407941303.1633863
Indirect,Mississippi,8867.107537381617,5633.81810786397,498209730.20107347,1217008180.3265855,2993253304.5808725
Indirect,New Hampshire,3301.6450835030278,1409.6408092171378,339520879.778442,648614722.6734526,1265494222.4413357
Indirect,New Jersey,33811.29263945655,17605.699121139332,3456198352.4943705,7434405990.263877,13133730512.242842
Indirect,New York,62728.64127505458,31967.773145412524,7989238050.453129,19297045184.89925,30813202671.102203
Indirect,North Carolina,14914.140064581665,7197.401797608256,1094264884.733869,2757376383.465802,5955757139.524175
Indirect,Ohio,8992.829084928015,2460.952579432062,695559756.149426,1762361160.3670604,4395553200.729642
Indirect,Oregon,3438.1691745479657,1096.5948066637857,325834677.5606915,685248707.0082749,1573740038.560232
Indirect,Pennsylvania,16763.690650880257,3924.2172630196146,1491619666.2389848,3107215379.3536816,6627834585.20634
Indirect,Rhode Island,1385.2644773720165,533.8350939122747,117677681.16729781,229935348.97668606,480835243.08549464
Indirect,South Carolina,4289.437547931608,1348.286540341458,309056769.0956256,649596990.5674349,1739349054.6194797
Indirect,Texas,24241.17145971995,12768.150112527397,2327925740.773736,7601754389.422601,16203142975.800001
Indirect,Virginia,10005.395955008224,3051.716823527942,1043456013.1401765,1938577663.676023,3650615939.547317
Indirect,Washington,6919.362566389115,2186.3964725385517,890741581.0326061,1592877337.735921,3104533319.402398
Indirect,Wisconsin,7066.273838298884,1653.5073033018975,505832868.6715034,1147585606.501217,3379122188.9115653
